date,apple,samsung,smartphone,isPartial
2018-01-09 08:00:00,10,17,0,False
2018-01-09 09:00:00,11,25,0,False
2018-01-09 10:00:00,15,25,4,False
2018-01-09 11:00:00,13,20,0,False
2018-01-09 12:00:00,15,27,0,False
2018-01-09 13:00:00,25,25,1,False
2018-01-09 14:00:00,21,29,0,False
2018-01-09 15:00:00,19,24,3,False
2018-01-09 16:00:00,15,26,4,False
2018-01-09 17:00:00,15,27,1,False
2018-01-09 18:00:00,19,35,3,False
2018-01-09 19:00:00,20,33,3,False
2018-01-09 20:00:00,19,36,0,False
2018-01-09 21:00:00,12,35,0,False
2018-01-09 22:00:00,15,26,4,False
2018-01-09 23:00:00,14,43,0,False
2018-01-10 00:00:00,0,37,6,False
2018-01-10 01:00:00,26,0,16,False
2018-01-10 02:00:00,0,43,0,False
2018-01-10 03:00:00,29,0,0,False
2018-01-10 04:00:00,46,44,0,False
2018-01-10 05:00:00,0,0,0,False
2018-01-10 06:00:00,0,20,0,False
2018-01-10 07:00:00,12,18,0,False
2018-01-10 08:00:00,10,22,0,False
2018-01-10 09:00:00,16,17,0,False
2018-01-10 10:00:00,11,24,0,False
2018-01-10 11:00:00,13,30,2,False
2018-01-10 12:00:00,14,27,0,False
2018-01-10 13:00:00,12,33,0,False
2018-01-10 14:00:00,17,26,0,False
2018-01-10 15:00:00,10,31,4,False
2018-01-10 16:00:00,14,30,0,False
2018-01-10 17:00:00,12,26,4,False
2018-01-10 18:00:00,15,32,0,False
2018-01-10 19:00:00,14,35,2,False
2018-01-10 20:00:00,27,34,1,False
2018-01-10 21:00:00,14,26,0,False
2018-01-10 22:00:00,12,17,2,False
2018-01-10 23:00:00,26,40,4,False
2018-01-11 00:00:00,21,26,0,False
2018-01-11 01:00:00,15,26,0,False
2018-01-11 02:00:00,0,0,58,False
2018-01-11 03:00:00,0,39,0,False
2018-01-11 04:00:00,0,40,0,False
2018-01-11 05:00:00,0,0,0,False
2018-01-11 06:00:00,5,11,0,False
2018-01-11 07:00:00,5,27,0,False
2018-01-11 08:00:00,8,13,4,False
2018-01-11 09:00:00,12,25,2,False
2018-01-11 10:00:00,10,20,0,False
2018-01-11 11:00:00,12,29,0,False
2018-01-11 12:00:00,15,21,0,False
2018-01-11 13:00:00,10,26,2,False
2018-01-11 14:00:00,13,28,0,False
2018-01-11 15:00:00,13,28,0,False
2018-01-11 16:00:00,18,23,6,False
2018-01-11 17:00:00,16,24,0,False
2018-01-11 18:00:00,12,35,0,False
2018-01-11 19:00:00,14,32,0,False
2018-01-11 20:00:00,16,25,0,False
2018-01-11 21:00:00,11,28,3,False
2018-01-11 22:00:00,13,32,3,False
2018-01-11 23:00:00,10,21,0,False
2018-01-12 00:00:00,14,0,0,False
